Id,TotalLoan,Gender,Education,MaritalStatus,AgeGroup,HstPaySep15,HstPayAug15,HstPayJul15,HstPayJun15,HstPayMay15,HstPayApr15,BillSep15,BillJun15,BillApr15,PaySep15,PayAug15,PayJul15,PayJun15,PayMay15,PayApr15,DefaultPayment
1,20000,2,2,1,1,2,2,-1,-1,-2,-2,3913,0,0,0,689,0,0,0,0,1
2,120000,2,2,2,1,-1,2,0,0,0,2,2682,3272,3261,0,1000,1000,1000,0,2000,1
3,90000,2,2,2,3,0,0,0,0,0,0,29239,14331,15549,1518,1500,1000,1000,1000,5000,0
4,50000,2,2,1,3,0,0,0,0,0,0,46990,28314,29547,2000,2019,1200,1100,1069,1000,0
5,50000,1,2,1,7,-1,0,-1,0,0,0,8617,20940,19131,2000,36681,10000,9000,689,679,0
6,50000,1,1,2,3,0,0,0,0,0,0,64400,19394,20024,2500,1815,657,1000,1000,800,0
7,500000,1,1,2,2,0,0,0,0,0,0,367965,542653,473944,55000,40000,38000,20239,13750,13770,0
8,100000,2,2,2,1,0,-1,-1,0,0,-1,11876,221,567,380,601,0,581,1687,1542,0
9,140000,2,3,1,2,0,0,2,0,0,0,11285,12211,3719,3329,0,432,1000,1000,1000,0
10,20000,1,3,2,3,-2,-2,-2,-2,-1,-1,0,0,13912,0,0,0,13007,1122,0,0
11,200000,2,3,2,3,0,0,2,0,0,-1,11073,2513,3731,2306,12,50,300,3738,66,0
12,260000,2,1,2,6,-1,-1,-1,-1,-1,2,12261,8517,13668,21818,9966,8583,22301,0,3640,0
13,630000,2,2,2,4,-1,0,-1,-1,-1,-1,12137,6500,2870,1000,6500,6500,6500,2870,0,0
14,70000,1,2,2,2,1,2,2,0,0,2,65802,66782,36894,3200,0,3000,3000,1500,0,1
15,250000,1,1,2,2,0,0,0,0,0,0,70887,59696,55512,3000,3000,3000,3000,3000,3000,0
16,50000,2,3,3,1,1,2,0,0,0,0,50614,28771,30211,0,1500,1100,1200,1300,1100,0
17,20000,1,1,2,1,0,0,2,2,2,2,15376,18338,19104,3200,0,1500,0,1650,0,1
18,320000,1,1,1,5,0,0,0,-1,-1,-1,253286,70074,195599,10358,10000,75940,20000,195599,50000,0
19,360000,2,1,1,5,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
20,180000,2,1,2,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0
21,130000,2,3,2,4,0,0,0,0,0,-1,38358,20616,930,3000,1537,1000,2000,930,33764,0
22,120000,2,2,1,4,-1,-1,-1,-1,-1,-1,316,0,316,316,316,0,632,316,0,1
23,70000,2,2,2,1,2,0,0,2,2,2,41087,44006,46012,2007,3582,0,3601,0,1820,1
24,450000,2,1,1,4,-2,-2,-2,-2,-2,-2,5512,560,0,19428,1473,560,0,0,1128,1
25,90000,1,1,2,1,0,0,0,-1,0,0,4744,5398,8292,5757,0,5398,1200,2045,2000,0
26,50000,1,3,2,1,0,0,0,0,0,0,47620,28967,30046,1973,1426,1001,1432,1062,997,0
27,60000,1,1,2,2,1,-2,-1,-1,-1,-1,-109,-57,-189,0,1000,0,500,0,1000,1
28,50000,2,3,2,2,0,0,0,0,0,0,22541,17878,19617,1300,1300,1000,1500,1000,1012,0
29,50000,2,3,1,5,-1,-1,-1,-1,-1,-1,650,2040,257,3415,3421,2044,30430,257,0,0
30,50000,1,1,2,1,0,0,0,0,0,0,15329,17907,11400,1500,1500,1000,1000,1600,0,0
31,230000,2,1,2,2,-1,-1,-1,-1,-1,-1,16646,15339,36923,17270,13281,15339,14307,37292,0,0
32,50000,1,2,2,3,2,0,0,0,0,0,30518,22734,23680,1718,1500,1000,1000,1000,716,1
33,100000,1,1,2,2,0,0,0,0,0,0,93036,80958,75589,3023,3511,3302,3204,3200,2504,0
34,500000,2,2,1,6,-2,-2,-2,-2,-2,-2,10929,7521,8981,4152,22827,7521,71439,981,51582,0
35,500000,1,1,1,7,-2,-2,-2,-2,-2,-2,13709,3180,5293,5006,31178,3180,0,5293,768,0
36,160000,1,1,2,2,-1,-1,-2,-2,-2,-1,30265,-923,-1884,131,396,396,565,792,0,0
37,280000,1,2,1,4,0,0,0,0,0,0,186503,170410,177413,8026,8060,6300,6400,6400,6737,0
38,60000,2,2,2,1,0,0,0,0,0,-1,15054,6026,18660,1500,1518,2043,0,47671,617,0
39,50000,1,1,2,1,1,-1,-1,-2,-2,-2,0,0,0,780,0,0,0,0,0,1
40,280000,1,1,2,2,-1,-1,2,-1,0,-1,498,9976,9477,9075,0,9976,8000,9525,781,0
41,360000,1,1,2,3,0,0,0,0,0,0,218668,628699,179224,10000,7000,6000,188840,28000,4000,0
42,70000,2,1,2,1,0,0,0,0,0,0,67521,63699,65970,3000,4500,4042,2500,2800,2500,0
43,10000,1,2,2,1,0,0,0,0,0,0,1877,3576,4451,1500,2927,1000,300,1000,500,0
44,140000,2,2,1,3,0,0,0,0,0,0,59504,64280,69802,3000,3000,3000,4000,4000,3000,0
45,40000,2,1,2,2,0,0,0,2,0,0,18927,25209,29197,3000,5000,0,2000,3000,0,0
46,210000,1,1,2,2,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,1
47,20000,2,1,2,1,0,0,2,-1,0,0,14028,16341,0,3000,0,16741,334,0,0,1
48,150000,2,4,2,5,0,0,-1,0,0,-2,4463,1170,0,1013,1170,0,0,0,0,1
49,380000,1,2,2,2,-1,-1,-1,-1,-1,-1,22401,32018,11873,21540,15138,24677,11851,11875,8251,0
50,20000,1,1,2,1,0,0,0,0,0,0,17447,19865,20063,1318,1315,704,928,912,1069,0
51,70000,1,3,2,4,1,2,2,2,2,0,37042,39423,39362,0,3100,2000,0,1500,1500,1
52,100000,2,3,3,4,0,0,0,0,0,0,61559,39619,33258,2000,1606,1500,2000,1500,1000,0
53,310000,2,2,1,5,-2,-2,-2,-2,-2,-2,13465,11185,464,7875,7600,11185,3544,464,0,0
54,180000,2,1,2,1,1,2,0,0,0,0,41402,43510,45319,1300,2010,1762,1762,1790,1622,0
